feature,coef,std_err,p_value,pos_group,target,n,r2,q_value
forty_missing,0.0465273,0.16508,0.778061,EDGE,draft_capital,333,0.29715,0.965869
bench_missing,0.179519,0.125591,0.152892,EDGE,draft_capital,333,0.29715,0.47212
vertical_missing,0.169545,0.240294,0.480454,EDGE,draft_capital,333,0.29715,0.775399
broad_missing,0.185805,0.221448,0.401443,EDGE,draft_capital,333,0.29715,0.708428
agility_missing,-0.183228,0.145085,0.206626,EDGE,draft_capital,333,0.29715,0.528171
power_conf,0.440902,0.127843,0.000563118,EDGE,draft_capital,333,0.29715,0.00724009
final_def_sacks_pg,0.239394,0.125152,0.0557703,EDGE,draft_capital,333,0.29715,0.261511
final_def_sack_share,-0.0486407,0.0834262,0.559867,EDGE,draft_capital,333,0.29715,0.802699
career_def_sacks_pg,0.00780579,0.104267,0.940323,EDGE,draft_capital,333,0.29715,0.986533
final_def_ff_pg,0.0874984,0.0723986,0.22683,EDGE,draft_capital,333,0.29715,0.544391
final_def_pbu_pg,0.0127341,0.0654271,0.845682,EDGE,draft_capital,333,0.29715,0.986376
college_seasons,-0.0447182,0.0651897,0.492733,EDGE,draft_capital,333,0.29715,0.777999
draft_year_c,-0.182124,0.246265,0.459576,EDGE,draft_capital,333,0.29715,0.772073
z_height_in,0.0912496,0.0824913,0.268652,IDL,log_pick,185,0.299607,0.590427
z_weight_lb,0.231129,0.0899358,0.0101717,IDL,log_pick,185,0.299607,0.101717
z_forty,0.210092,0.10239,0.0401811,IDL,log_pick,185,0.299607,0.238575
